1851_recid,JR_1861_recid,PLD_1861_recid
13496521,14935923,14988206
13883271,15435253,15424988
13070257,14444748,14444166
13480173,14981187,14977630
14580057,16167888,16187943
13345641,14833770,14834025
6103372,6477262,6650587
9921372,10851115,10825786
13239201,14621587,14682242
14734408,15664818,16375442
11356900,13647379,12365517
14589376,15605119,16197507
13143940,14517817,14561054
13218906,14687984,14659650
13077378,14474554,14402042
13419478,14909740,14748627
13287127,14401241,14749443
13477839,14972316,14910679
13900530,15474525,15478244
13243676,14967187,14688679
12725210,14165554,14419783
6381511,8752666,6955608
13165077,14590384,2607166
14265592,15923009,15896437
5855861,6505213,6407644
13856612,15375935,15829386
13044342,14379341,14445929
5425373,5977699,5949855
12378175,13730563,13705161
5920480,6534277,6469180
13492139,14913555,14990976
12515355,13767471,13597672
14317469,15853210,15821163
13911140,14586445,15484859
13998239,15569441,15567378
13074003,14464811,14475244
13250246,15497162,14662439
2585864,1233887,1819638
12696939,14084202,13831364
13959834,15526952,15519514
11376935,13959048,13960091
12507408,13757396,13745107
13420141,15135092,14934442
9973211,10899417,10565155
13982785,15551737,15549902
13119383,14522206,14585037
14220337,14733298,15468177
13162735,13715598,13740197
13428740,14987226,14907762
11414368,12405000,14103845
14324617,15872106,15871871
13397451,13776776,14844078
13274544,14873955,13851181
12935906,14585892,15009377
13945061,16175841,15538215
13267257,14719392,14708888
13905170,15459396,15458100
13440197,14900184,14940290
13542975,15112853,14164975
14221721,15471421,15474224
13275419,14738127,14736894
7788910,8390602,8378036
13436317,14898579,14908101
13272483,14754002,14958215
13869107,15270832,14835521
13863586,15405314,15403669
5938295,6481963,6536111
14311505,10098718,15736412
14185304,15769786,15771077
12555845,13808372,13813492
16898171,18892465,18955204
13217659,14729465,14700219
9932266,10834150,10284403
13232944,14697877,14665499
5922808,6481457,6467078
12478497,14126812,13739142
13417423,14935486,14894537
13583102,15048444,14744273
13755183,15283442,14761013
13153729,14587247,14580660
12786445,13266406,14164369
13984680,16191022,15599016
210406,12442054,14018863
13431597,14908218,14744482
12110621,14490714,13255756
14220799,15730866,15710936
13293455,14739501,14749761
12353406,13604372,13602855
14270003,15921931,15920970
12889832,14363611,14301297
13917542,15490448,14577672
9475026,10271259,10277847
17192375,19242287,19238708
1402500,1455898,1524273
13965845,15535448,14487949
14753048,16404252,15537821
13351308,14840785,3630003
13925123,15582996,15499286
13350687,15437172,15981694
13874276,15290824,15289371
13508028,15035597,13387203
1444216,655791,1476645
13538480,15005984,13606705
13612996,15042694,15127246
9963759,10884640,10881731
13518539,14897416,15020848
