1851_recid,JR_1861_recid,PLD_1861_recid
14037898,15619705,15498577
13358527,14846835,14805257
13758132,15285324,15284632
13342460,15279376,14853631
13479220,14925135,14928119
13471231,14958119,14957671
13500014,15001018,15001035
11590693,12616694,12612199
14731886,16360590,14503325
13162618,14590738,14587286
13169760,14594835,14597512
13757735,15285162,15285121
11364631,12390072,12383442
13217827,14685669,14661316
13420608,14993234,14973290
13144849,14561194,14572370
9939992,10841242,10845106
14269727,15926534,15907986
9968988,10873392,10870820
11467389,12480351,12471963
13527143,15034529,15034320
14631919,16253798,16252732
13568830,15089090,15050449
13925247,15499277,15497605
13494036,14993080,14993364
9399529,10164568,10164552
13837336,15385787,15386994
13162827,14591102,14590459
14303466,15844637,15379199
12488205,13787608,13787606
13438645,14988516,14890716
12323419,14287655,13570202
13380192,14867156,14862878
13323405,14814792,14807868
13504052,15005521,13646148
13953194,15520970,15520694
13487038,14984241,14978136
9989775,10876897,10863265
13294243,14759649,14745751
13433228,14937737,14862126
13024978,14488918,14488917
13073434,14473556,14454673
13846570,15389421,15392499
13426777,14903228,14903227
13925539,15499348,15499531
14360630,15929184,15832703
12524305,13775104,13780554
9971416,10863531,10878077
5531049,6074917,760387
9974884,10969903,10869725
7795075,8377831,8385070
13493455,14992908,14992737
7826097,8413184,420386
9932719,10834143,10832913
13170357,14597338,14597995
13401832,14826846,14826845
13497593,14997524,14997521
12539302,14754798,13746700
1440513,1535901,1221150
13396701,14813541,14800636
13217564,14698842,13735390
13297443,14752672,14752558
13333439,13781281,14821427
13285721,14747587,14747586
13308077,14775024,14753523
13334339,14823033,14821642
13345747,14800299,14832385
13407496,14877567,14960064
14346508,15898458,15693842
13488736,14984390,14979392
14313190,16748418,16165921
13741835,15269864,15269678
14136536,15721254,15445038
5510871,6054311,6054309
13348542,14838067,14836618
13472523,14956682,14956320
13966845,15579956,15533752
13904897,15465016,15464204
14110589,15690047,15689673
13377774,14866598,14866596
13998498,15630328,15567233
13354184,14338276,15711266
11383412,12415565,12400287
11337358,12346429,12346155
13954176,15522346,15520538
1401735,1489939,1463217
13601002,15124886,15094370
13927361,15503450,15615497
13348891,14838622,14830596
12992509,14578863,14573168
12526874,13786839,13787028
13173174,14539147,14592700
13880128,15143851,15429622
14731579,16371947,16363089
13976333,15544081,15543685
13930323,15504236,15491855
12454348,13697029,13695993
11280204,14487928,12283948
13487117,14985045,14983693
13157748,14585146,14583085
13361280,14849452,14848939
9990600,10898390,10892565
5512469,6057102,6054217
4720395,5202842,5202288
13848749,15388729,15387070
13539135,15121263,15041885
13162874,14591065,14581455
9987310,10860869,10868973
11344592,14441584,12351279
12503283,13788047,13726271
9991916,10898424,10851177
13367859,14833298,14809164
13459513,14910113,14912623
13092063,14491640,12359305
9945749,10847386,10847110
14340939,15890617,15890361
12448909,13628094,13656402
13481073,14965958,14965105
12482752,13757744,13726186
13974615,16256959,15524440
12454545,13700691,13616180
14038034,15619989,15617793
14346787,15897643,15897613
14755856,16405201,15547973
12287586,13501693,13456385
1441204,1570702,1570701
12558761,12321503,13812032
11292440,12295585,12295262
12571026,13822970,13823769
13397873,14801786,14800318
6390267,6935643,6931692
13911933,15485207,14445615
13402194,14826751,15311121
13395241,14799261,14799259
12258734,13462432,13449847
12390534,13521223,13521220
13460853,14889275,14898936
13340308,14842833,14847628
10190666,11109394,11110933
13763123,15291767,15291762
13246904,14694067,14694071
12324844,13568238,13568236
13178905,14610326,14610325
13376801,14863338,14867210
13845706,15392500,15392245
16239901,7567371,18218976
13486786,14983912,14983906
12555262,13810895,13810892
13957075,15525227,15512198
14753044,15546371,16402566
13886659,15427106,15428217
13410376,14883485,13761745
11292600,12297026,12295566
1389087,1474170,1521913
13108710,14540819,14537892
13512912,15019721,15019716
13497745,15024376,14996731
13494218,15104981,15104980
13850263,15389100,15388407
16215929,18217911,18200092
13533730,15037574,15037572
13953974,15520251,15511868
12489134,14659114,13811575
13850748,15387170,15387816
14058393,15737013,15745762
13604546,14959910,15050024
13506655,15002494,15002492
9929704,10859505,10830073
13192571,14643243,14628813
5454292,5979513,5978716
9477632,10286614,10280054
9934241,10820404,10833399
13440650,14906775,14716273
13115465,14518080,14518077
9933357,10832827,10832786
13339692,14833938,14833937
13499269,14998747,14998746
13166581,14593768,14593767
9938267,10840320,10840213
9944218,10845770,10845744
9994324,10895169,10893870
13489297,14988198,14988197
9948408,10899780,10851327
10161789,11081645,11081395
14340332,15889694,12806290
10189822,11110210,11110821
13373448,14870121,14869398
13228177,14678792,14620801
11435961,12447537,12447532
11441955,12453439,12452964
14340544,15722847,15889694
12419327,13328270,13699484
12400229,13536596,13532279
12328215,13573744,13571269
13276702,14738009,14716498
12331477,13578761,13578115
13489295,14988197,14981456
12351219,13602073,13602086
13358155,15281361,14834206
14190592,15774659,15422651
13360792,14848655,14798298
12506987,13746420,13751562
14298729,15924568,15260856
13471160,14958982,14954653
13902718,15465941,14642638
13291221,14758239,14727513
13379590,14865689,13580718
14059631,15639366,15739531
14280203,15823856,15214065
13987658,15556116,12246312
13487040,14989196,14983678
14214866,15453587,13780966
14342509,15892005,15856762
13925293,15628889,15497857
14337290,15888430,15887896
13899301,15459148,15458982
13883529,15415174,15291502
11395725,12411743,12372738
12406508,13881023,13580910
14216477,15720149,15453726
13897525,15429378,14743350
14016076,15566676,15590861
13339384,14833668,14830064
13883004,15442145,15422457
13360333,14848944,14848598
13583273,15103655,15075237
12572306,13826835,13826824
13308580,14764693,14763682
13456473,14934533,14915837
4713834,5194065,5193065
13969548,15538077,15537062
13322849,14802016,14787029
13858444,15378660,15378382
13447069,14925380,14896631
13572070,15093264,15096241
13199639,14627136,13747458
13614746,15131656,15131588
13353528,14836761,14165793
9928605,10830685,10829111
9948061,10850367,10850366
14341008,15890679,15729302
13413982,14887006,14769639
16255173,18238755,17062791
13566246,15077472,15052718
13317112,14799226,14785335
13925296,15499108,15498589
13290120,14753748,14752940
14319035,15719554,15884398
14037126,15618681,15619311
12535498,13787742,13793284
11409381,12314921,12417330
13352882,14844471,14805365
13609954,15126558,15049146
13429057,14907564,14907563
12298315,13557263,13515989
14213846,15708169,15714436
12360408,13609051,13225639
12589763,13853427,13828460
14573125,16185160,16239303
14556900,16166045,15790463
13276241,14738543,14738302
13491276,14979892,14954404
13296498,14759789,14754793
13503092,15002676,15020005
6381091,6919817,6919566
13497527,15025690,14995663
14564111,16168617,16167982
12987378,14358857,14358659
14030760,15612351,15555055
12406670,13540520,13527954
12550903,13732420,13808033
13277532,14739559,14740720
13270873,14711978,14717654
13186519,14616857,14579994
12986507,14358155,14360079
12386170,15009795,13663100
9993723,10892811,10880101
13237424,14681598,14618956
12535874,13788233,13783991
13163047,14594085,14591267
13422680,14941457,14918470
12573515,13824860,13827514
13490951,14989629,14968820
13293256,14753493,14753273
11471915,12483984,12402970
12588647,13854153,13847129
12524247,13775158,13769633
12541918,13791270,13792510
11454269,12466883,12452704
13299651,14769155,14762305
13485668,14982541,14976340
12384908,13643072,13636998
12220821,13382851,13379638
12987563,14358697,14358668
13494009,14993369,14964962
13925260,15499186,12326163
14563425,16168090,16166821
13357940,14846474,14836819
13431018,14972989,14910570
13461106,14913118,14818288
14035145,15617004,15616599
14033806,15614924,15503665
13763342,15291656,15291821
14038269,15620235,15503963
13438617,14949286,14937501
11323887,12330841,12330670
13014537,14414571,14148456
12375532,13630729,13630749
13548150,15038946,15110497
13479404,14978454,14868106
13324270,14810765,14820824
13947930,16170146,15515404
11414799,12404436,12421319
13538290,15122957,19172925
13360608,14848606,14845640
13461410,14910658,14955533
13488951,14986641,14986642
13588479,15101259,15106296
13251949,14699690,14591886
12552128,13815270,13815269
13543163,15046081,14977333
12337632,13585267,13584549
14361461,15930293,15930292
14342829,15891868,15889207
13618291,15135518,14627940
13578792,15078271,15094870
13333893,14776119,13451557
13904384,15464810,15461837
13498225,14997666,14997522
9939934,10842041,10842087
13212605,14651816,14617825
11449514,12458837,12434885
13533600,15038419,14943744
13401689,14827269,14826435
13390936,14870351,14870350
4712806,5198402,5194717
13294037,14756430,14754574
9944583,10846481,10846477
12566987,13821196,13821080
9990238,10901117,10900116
13570541,14924787,15047077
13145345,14563795,15497410
11293405,12294692,12295397
13484092,14992717,14968682
13491710,14990597,14970300
13428190,14943378,14917431
13347029,14837165,14835068
12220065,13380282,13400154
13919327,15492432,14564563
